,date,localName,name,countryCode,global,counties,types
0,2025-01-01,New Year's Day,New Year's Day,US,True,,['Public']
1,2025-01-20,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,True,,['Public']
2,2025-02-12,Lincoln's Birthday,Lincoln's Birthday,US,False,"['US-CA', 'US-CT', 'US-IL', 'US-IN', 'US-KY', 'US-MI', 'US-NY', 'US-MO', 'US-OH']",['Observance']
3,2025-02-17,Washington's Birthday,Presidents Day,US,True,,['Public']
4,2025-04-18,Good Friday,Good Friday,US,False,"['US-CT', 'US-DE', 'US-HI', 'US-IN', 'US-KY', 'US-LA', 'US-NC', 'US-ND', 'US-NJ', 'US-TN']",['Public']
5,2025-04-18,Good Friday,Good Friday,US,False,['US-TX'],['Optional']
6,2025-05-08,Truman Day,Truman Day,US,False,['US-MO'],"['School', 'Authorities']"
7,2025-05-26,Memorial Day,Memorial Day,US,True,,['Public']
8,2025-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,True,,['Public']
9,2025-07-04,Independence Day,Independence Day,US,True,,['Public']
10,2025-09-01,Labour Day,Labor Day,US,True,,['Public']
11,2025-10-13,Columbus Day,Columbus Day,US,False,"['US-AL', 'US-AZ', 'US-CO', 'US-CT', 'US-GA', 'US-ID', 'US-IL', 'US-IN', 'US-IA', 'US-KS', 'US-KY', 'US-LA', 'US-ME', 'US-MD', 'US-MA', 'US-MS', 'US-MO', 'US-MT', 'US-NE', 'US-NH', 'US-NJ', 'US-NM', 'US-NY', 'US-NC', 'US-OH', 'US-OK', 'US-PA', 'US-RI', 'US-SC', 'US-TN', 'US-UT', 'US-VA', 'US-WV']",['Public']
12,2025-10-13,Indigenous Peoples' Day,Indigenous Peoples' Day,US,False,"['US-AK', 'US-AL', 'US-CA', 'US-HI', 'US-IA', 'US-LA', 'US-ME', 'US-MI', 'US-MN', 'US-NC', 'US-NE', 'US-NM', 'US-OK', 'US-OR', 'US-SD', 'US-TX', 'US-VA', 'US-VT', 'US-WI']",['Public']
13,2025-11-11,Veterans Day,Veterans Day,US,True,,['Public']
14,2025-11-27,Thanksgiving Day,Thanksgiving Day,US,True,,['Public']
15,2025-12-25,Christmas Day,Christmas Day,US,True,,['Public']
